nome,uf,email
CARLOS HUMBERTO MANNATO,ES,dep.carlosmanato@camara.leg.br
VITOR PEREIRA VALIM,CE,dep.vitorvalim@camara.leg.br
SÍLVIO SERAFIM COSTA,PE,dep.silviocosta@camara.leg.br
LUIZ HENRIQUE MANDETTA,MS,dep.mandetta@camara.leg.br
JOSÉ CARLOS NUNES JÚNIOR,MA,dep.zecarlos@camara.leg.br
JACOB ALFREDO STOFFELS KAEFER,PR,dep.alfredokaefer@camara.leg.br
HIRAN MANUEL GONCALVES DA SILVA,RR,dep.hirangoncalves@camara.leg.br
JOSÉ ALFONSO EBERT HAMM,RS,dep.afonsohamm@camara.leg.br
VALTENIR LUIZ PEREIRA,MT,dep.valtenirpereira@camara.leg.br
EVANDRO HERRERA BERTONE GUSSI,SP,dep.evandrogussi@camara.leg.br
ANDRE DOS SANTOS ABDON,AP,dep.andreabdon@camara.leg.br
DILCEU JOÃO SPERAFICO,PR,dep.dilceusperafico@camara.leg.br
DOMINGOS GOMES DE AGUIAR NETO,CE,dep.domingosneto@camara.leg.br
FRANCISCO RODRIGUES DE ALENCAR FILHO,RJ,dep.chicoalencar@camara.leg.br
ELVINO JOSÉ BOHN GASS,RS,dep.bohngass@camara.leg.br
HILDO AUGUSTO DA ROCHA NETO,MA,dep.hildorocha@camara.leg.br
MARINHA CÉLIA ROCHA RAUPP DE MATOS,RO,dep.marinharaupp@camara.leg.br
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,RJ,dep.clarissagarotinho@camara.leg.br
MARCELO COSTA E CASTRO,PI,dep.marcelocastro@camara.leg.br
BENEDITA SOUZA DA SILVA SAMPAIO,RJ,dep.beneditadasilva@camara.leg.br
JOAO PAULO KARAM KLEINUBING,SC,dep.joaopaulokleinubing@camara.leg.br
ROSANGELA DE SOUZA GOMES,RJ,dep.rosangelagomes@camara.leg.br
BRUNA DIAS FURLAN,SP,dep.brunafurlan@camara.leg.br
ELMAR JOSE VIEIRA NASCIMENTO,BA,dep.elmarnascimento@camara.leg.br
MOSES HAENDEL MELO RODRIGUES,CE,dep.mosesrodrigues@camara.leg.br
IVAN VALENTE,SP,dep.ivanvalente@camara.leg.br
PAULO ROBERTO SEVERO PIMENTA,RS,dep.paulopimenta@camara.leg.br
JORGINHO DOS SANTOS MELLO,SC,dep.jorginhomello@camara.leg.br
ANTONIO FLORIANO PEREIRA PESARO,SP,dep.florianopesaro@camara.leg.br
DIEGO ALEXSANDER GONCALO PAULA GARCIA,PR,dep.diegogarcia@camara.leg.br
DAMIÃO FELICIANO DA SILVA,PB,dep.damiaofeliciano@camara.leg.br
HIDEKAZU TAKAYAMA,PR,dep.takayama@camara.leg.br
NILSON APARECIDO LEITÃO,MT,dep.nilsonleitao@camara.leg.br
LEANDRE DAL PONTE,PR,dep.leandre@camara.leg.br
EROS FERREIRA BIONDINI,MG,dep.erosbiondini@camara.leg.br
FERNANDO BEZERRA DE SOUZA COELHO FILHO,PE,dep.fernandocoelhofilho@camara.leg.br
CLÁUDIO CAJADO SAMPAIO,BA,dep.claudiocajado@camara.leg.br
FABIO DE ALMEIDA REIS,SE,dep.fabioreis@camara.leg.br
MISAEL ARTUR FERREIRA VARELLA,MG,dep.misaelvarella@camara.leg.br
ANTONIO SERGIO ALVES VIDIGAL,ES,dep.sergiovidigal@camara.leg.br
MARIA AUXILIADORA SEABRA REZENDE,TO,dep.professoradorinhaseabrarezende@camara.leg.br
MIRO TEIXEIRA,RJ,dep.miroteixeira@camara.leg.br
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,RN,dep.betorosado@camara.leg.br
ÉDIO VIEIRA LOPES,RR,dep.ediolopes@camara.leg.br
LINCOLN DINIZ PORTELA,MG,dep.lincolnportela@camara.leg.br
WHERLES FERNANDES DA ROCHA,AC,dep.rocha@camara.leg.br
ALCEU MOREIRA DA SILVA,RS,dep.alceumoreira@camara.leg.br
FRANCISCO LOPES DA SILVA,CE,dep.chicolopes@camara.leg.br
PEDRO PINHEIRO CHAVES,GO,dep.pedrochaves@camara.leg.br
DANIEL ELIAS CARVALHO VILELA,GO,dep.danielvilela@camara.leg.br
JOAO GUALBERTO VASCONCELOS,BA,dep.joaogualberto@camara.leg.br
JÚLIO CÉSAR DE CARVALHO LIMA,PI,dep.juliocesar@camara.leg.br
BRUNIELE FERREIRA GOMES,MG,dep.brunny@camara.leg.br
LUIZ LAURO FERREIRA FILHO,SP,dep.luizlaurofilho@camara.leg.br
ROGÉRIO MENDONÇA,SC,dep.rogeriopeninhamendonca@camara.leg.br
CARLOS CESAR CORREIA DE MESSIAS,AC,dep.cesarmessias@camara.leg.br
JULIA MARIA GODINHO DA CRUZ MARINHO,PA,dep.juliamarinho@camara.leg.br
MARCO ANTONIO NEVES CABRAL,RJ,dep.marcoantoniocabral@camara.leg.br
PAULO ROBERTO FREIRE DA COSTA,SP,dep.paulofreire@camara.leg.br
ANTONIO JOSÉ IMBASSAHY DA SILVA,BA,dep.antonioimbassahy@camara.leg.br
HEITOR JOSE SCHUCH,RS,dep.heitorschuch@camara.leg.br
SILVIO FRANÇA TORRES,SP,dep.silviotorres@camara.leg.br
DAMINA DE CARVALHO PEREIRA,MG,dep.daminapereira@camara.leg.br
GIVALDO VIEIRA DA SILVA,ES,dep.givaldovieira@camara.leg.br
FRANCISCO FLORIANO DE SOUSA SILVA,RJ,dep.franciscofloriano@camara.leg.br
VICENTE ALVES DE OLIVEIRA JUNIOR,TO,dep.vicentinhojunior@camara.leg.br
GILBERTO JOSÉ SPIER VARGAS,RS,dep.pepevargas@camara.leg.br
VENEZIANO VITAL DO RÊGO SEGUNDO NETO,PB,dep.venezianovitaldorego@camara.leg.br
CARLOS HENRIQUE FOCESI SAMPAIO,SP,dep.carlossampaio@camara.leg.br
NELSON VICENTE PORTELA PELLEGRINO,BA,dep.nelsonpellegrino@camara.leg.br
FERNANDO LÚCIO GIACOBO,PR,dep.giacobo@camara.leg.br
JOSÉ ROBERTO OLIVEIRA FARO,PA,dep.betofaro@camara.leg.br
ÉRIKA JUCÁ KOKAY,DF,dep.erikakokay@camara.leg.br
HERÁCLITO DE SOUSA FORTES,PI,dep.heraclitofortes@camara.leg.br
CARLOS DO CARMO ANDRADE MELLES,MG,dep.carlosmelles@camara.leg.br
MARCIO LUIZ ALVINO DE SOUZA,SP,dep.marcioalvino@camara.leg.br
JAIR MESSIAS BOLSONARO,RJ,dep.jairbolsonaro@camara.leg.br
SERGIO DE SOUZA,PR,dep.sergiosouza@camara.leg.br
RONALDO NOGUEIRA DE OLIVEIRA,RS,dep.ronaldonogueira@camara.leg.br
MARIA DO SOCORRO JÔ MORAES,MG,dep.jomoraes@camara.leg.br
JEAN WYLLYS DE MATOS SANTOS,RJ,dep.jeanwyllys@camara.leg.br
DANRLEI DE DEUS HINTERHOLZ,RS,dep.danrleidedeushinterholz@camara.leg.br
LUCAS DE CASTRO SANTOS,GO,dep.lucasvergilio@camara.leg.br
HISSA NAGIB ABRAHAO FILHO,AM,dep.hissaabrahao@camara.leg.br
LUCIO ANTONIO MOSQUINI,RO,dep.luciomosquini@camara.leg.br
IOLANDA KEIKO MIASHIRO OTA,SP,dep.keikoota@camara.leg.br
ANTONIO PEDRO INDIO DA COSTA,RJ,dep.indiodacosta@camara.leg.br
TEREZA CRISTINA CORREA DA COSTA DIAS,MS,dep.terezacristina@camara.leg.br
SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,PE,dep.sebastiaooliveira@camara.leg.br
LINDOMAR BARBOSA ALVES,RO,dep.lindomargarcon@camara.leg.br
MAGDA MOFATTO HON,GO,dep.magdamofatto@camara.leg.br
LUIZ GONZAGA RIBEIRO,MG,dep.subtenentegonzaga@camara.leg.br
LUIS HENRIQUE DE OLIVEIRA RESENDE,MG,dep.luistibe@camara.leg.br
GEORGE HILTON DOS SANTOS CECÍLIO,MG,dep.georgehilton@camara.leg.br
JOSÉ FRANCISCO PAES LANDIM,PI,dep.paeslandim@camara.leg.br
BENITO DA GAMA SANTOS,BA,dep.benitogama@camara.leg.br
FLAVIANO FLÁVIO BAPTISTA DE MELO,AC,dep.flavianomelo@camara.leg.br
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,MG,dep.marcuspestana@camara.leg.br
ARNALDO JORDY FIGUEIREDO,PA,dep.arnaldojordy@camara.leg.br
EZEQUIEL ANGELO FONSECA,MT,dep.ezequielfonseca@camara.leg.br
STEFANO AGUIAR DOS SANTOS,MG,dep.stefanoaguiar@camara.leg.br
ALEXANDRE AUGUSTUS SERFIOTIS,RJ,dep.alexandreserfiotis@camara.leg.br
DANIEL PIRES COELHO,PE,dep.danielcoelho@camara.leg.br
NILTO IGNACIO TATTO,SP,dep.niltotatto@camara.leg.br
ADRIANO ELI CORRÊA,SP,dep.elicorreafilho@camara.leg.br
JOAO SOMARIVA DANIEL,SE,dep.joaodaniel@camara.leg.br
JOSÉ WILSON SANTIAGO FILHO,PB,dep.wilsonfilho@camara.leg.br
RONALDO JOSÉ BENEDET,SC,dep.ronaldobenedet@camara.leg.br
THIAGO MELLO PEIXOTO DA SILVEIRA,GO,dep.thiagopeixoto@camara.leg.br
BONIFÁCIO JOSÉ TAMM DE ANDRADA,MG,dep.bonifaciodeandrada@camara.leg.br
ABEL SALVADOR MESQUITA JUNIOR,RR,dep.abelmesquitajr@camara.leg.br
BENEVENUTO DACIOLO FONSECA DOS SANTOS,RJ,dep.cabodaciolo@camara.leg.br
KAIO CESAR DE MOURA MANICOBA NOVAES FERRAZ,PE,dep.kaiomanicoba@camara.leg.br
SERGIO LUCIO DE ALMEIDA,MG,dep.tenentelucio@camara.leg.br
JOSÉ CARLOS LEÃO DE ARAÚJO,BA,dep.josecarlosaraujo@camara.leg.br
ARLINDO CHIGNALIA JUNIOR,SP,dep.arlindochinaglia@camara.leg.br
MARCELO VIVIANI GONÇALVES,RJ,dep.marcelomatos@camara.leg.br
SANDRO ALEX CRUZ DE OLIVEIRA,PR,dep.sandroalex@camara.leg.br
JOSÉ MENDONÇA BEZERRA FILHO,PE,dep.mendoncafilho@camara.leg.br
MARIA HELENA VERONESE RODRIGUES,RR,dep.mariahelena@camara.leg.br
GIOVANI CHERINI,RS,dep.giovanicherini@camara.leg.br
ERONILDES VASCONCELOS CARVALHO,BA,dep.tiaeron@camara.leg.br
ANDRE LUIZ CARVALHO RIBEIRO,MA,dep.andrefufuca@camara.leg.br
BENJAMIN GOMES MARANHÃO NETO,PB,dep.benjaminmaranhao@camara.leg.br
LUIS CARLOS HEINZE,RS,dep.luiscarlosheinze@camara.leg.br
ALFREDO PEREIRA DO NASCIMENTO,AM,dep.alfredonascimento@camara.leg.br
RENATA HELLMEISTER DE ABREU,SP,dep.renataabreu@camara.leg.br
FLAVIO ALVES SABINO,CE,dep.cabosabino@camara.leg.br
SERGIO ZVEITER,RJ,dep.sergiozveiter@camara.leg.br
RAFAEL HUETE DA MOTTA,RN,dep.rafaelmotta@camara.leg.br
MARX BELTRÃO LIMA SIQUEIRA,AL,dep.marxbeltrao@camara.leg.br
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,GO,dep.flaviamorais@camara.leg.br
ANA LUCIA LIPPAUS PERUGINI,SP,dep.anaperugini@camara.leg.br
JOÃO CARLOS PAOLILO BACELAR FILHO,BA,dep.joaocarlosbacelar@camara.leg.br
JOÃO CARLOS SIQUEIRA,MG,dep.padrejoao@camara.leg.br
JOSÉ OLIMPIO SILVEIRA MORAES,SP,dep.missionariojoseolimpio@camara.leg.br
MARCIO DELLA VALLE BIOLCHI,RS,dep.marciobiolchi@camara.leg.br
ROBERTO ALVES DE LUCENA,SP,dep.robertodelucena@camara.leg.br
LAERTE RODRIGUES DE BESSA,DF,dep.laertebessa@camara.leg.br
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,CE,dep.leonidascristino@camara.leg.br
PEDRO TORRES BRANDÃO VILELA,AL,dep.pedrovilela@camara.leg.br
ARTHUR DE OLIVEIRA MAIA DA SILVA,BA,dep.arthuroliveiramaia@camara.leg.br
JOSÉ ALVES ROCHA,BA,dep.joserocha@camara.leg.br
CELSO UBIRAJARA RUSSOMANNO,SP,dep.celsorussomanno@camara.leg.br
CARLOS GOMES BEZERRA,MT,dep.carlosbezerra@camara.leg.br
ANTÔNIO PINHEIRO JÚNIOR,MG,dep.toninhopinheiro@camara.leg.br
AROLDE DE OLIVEIRA,RJ,dep.aroldedeoliveira@camara.leg.br
DIONILSO MATEUS MARCON,RS,dep.marcon@camara.leg.br
SEBASTIÃO SIBÁ MACHADO OLIVEIRA,AC,dep.sibamachado@camara.leg.br
OLAVO BILAC PINTO NETO,MG,dep.bilacpinto@camara.leg.br
JOSÉ CÍCERO SOARES DE ALMEIDA,AL,dep.ciceroalmeida@camara.leg.br
JOSÉ OTÁVIO GERMANO,RS,dep.joseotaviogermano@camara.leg.br
ANDRÉ LUIS DANTAS FERREIRA,SE,dep.andremoura@camara.leg.br
JULIÃO AMIN CASTRO,MA,dep.juliaoamin@camara.leg.br
WALTER SHINDI IIHOSHI,SP,dep.walterihoshi@camara.leg.br
ANTONIO CARLOS DE MENDES THAME,SP,dep.antoniocarlosmendesthame@camara.leg.br
ADEMIR CAMILO PRATES RODRIGUES,MG,dep.ademircamilo@camara.leg.br
ANTONIO ADOLPHO LOBBE NETO,SP,dep.lobbeneto@camara.leg.br
FERNANDO DANTAS TORRES,BA,dep.fernandotorres@camara.leg.br
JOÃO SANDES JÚNIOR,GO,dep.sandesjunior@camara.leg.br
AUGUSTO RODRIGUES COUTINHO DE MELO,PE,dep.augustocoutinho@camara.leg.br
OSMAR STUART BERTOLDI,PR,dep.osmarbertoldi@camara.leg.br
WALNEY DA ROCHA CARVALHO,RJ,dep.walneyrocha@camara.leg.br
CELSO ALENCAR RAMOS JACOB,RJ,dep.celsojacob@camara.leg.br
ELIZEU DIONIZIO SOUZA  DA SILVA,MS,dep.elizeudionizio@camara.leg.br
WADIH NEMER DAMOUS FILHO,RJ,dep.wadihdamous@camara.leg.br
VICENTE FERREIRA DE ARRUDA COELHO,CE,dep.vicentearruda@camara.leg.br
MARIA LAURA MONTEZA DE SOUZA CARNEIRO,RJ,dep.lauracarneiro@camara.leg.br
MARCONDES IRAN BENEVIDES GADELHA,PB,dep.marcondesgadelha@camara.leg.br
CAJAR ONESIMO RIBEIRO NARDES,RS,dep.cajarnardes@camara.leg.br
ANDRÉ AUGUSTO CASTRO DO AMARAL FILHO,PB,dep.andreamaral@camara.leg.br
LUANA MARIA DA SILVA COSTA,MA,dep.luanacosta@camara.leg.br
RENATO BARBOSA DE ANDRADE,MG,dep.renatoandrade@camara.leg.br
FRANCISCO VAIDON OLIVEIRA,CE,dep.vaidonoliveira@camara.leg.br
MARCELO JANDRE DELAROLI,RJ,dep.marcelodelaroli@camara.leg.br
NORMA AYUB ALVES,ES,dep.normaayub@camara.leg.br
YEDA RORATO CRUSIUS,RS,dep.yedacrusius@camara.leg.br
FÁBIO RICARDO TRAD,MS,dep.fabiotrad@camara.leg.br
